x,y
382.03125,214.0625
384.38066244125366,214.0625
386.7300748825073,214.0625
389.07949924468994,214.0625
391.42889976501465,214.0625
393.77832412719727,214.0625
396.1277365684509,214.0625
398.4771490097046,214.0625
400.82656145095825,214.0625
403.1759738922119,214.0625
405.5253863334656,214.0625
407.87479877471924,214.0625
410.22422313690186,214.0625
412.57362365722656,214.0625
414.9230480194092,214.0625
417.27246046066284,214.0625
419.6218729019165,214.0625
421.97128534317017,214.0625
424.3206977844238,214.0625
426.6701102256775,214.0625
429.01952266693115,214.0625
431.36894702911377,214.0625
433.7183475494385,214.0625
436.0677719116211,214.0625
438.25165033340454,214.19517993927002
437.7400875091553,216.48821830749512
437.22851276397705,218.78125667572021
436.7169499397278,221.0742950439453
436.2053871154785,223.36734533309937
435.6938123703003,225.66038370132446
435.1828098297119,227.95355319976807
434.6730709075928,230.24699687957764
434.1633200645447,232.54045248031616
433.6548089981079,234.8341703414917
433.14706087112427,237.12806701660156
432.6393961906433,239.42197561264038
432.13356733322144,241.71628952026367
431.62896633148193,244.01087760925293
431.12566471099854,246.30573987960815
430.6238532066345,248.60093593597412
430.1236867904663,250.8965015411377
429.62539196014404,253.1924605369568
429.12923097610474,255.48888444900513
428.6356568336487,257.78586864471436
428.1446933746338,260.0834012031555
427.65663862228394,262.3815655708313
427.171790599823,264.6804213523865
426.69053077697754,266.9800043106079
426.2132167816162,269.28040981292725
425.74024200439453,271.5817332267761
425.2720832824707,273.88402223587036
424.80918169021606,276.1873722076416
424.3524670600891,278.4919738769531
423.90220165252686,280.7978391647339
423.45895767211914,283.1050515174866
423.0236768722534,285.41380167007446
422.5970149040222,287.72414922714233
422.1797227859497,290.0362014770508
421.77281379699707,292.35010147094727
421.37720584869385,294.66596841812134
420.99363803863525,296.9838500022888
420.6236243247986,299.303936958313
420.2679395675659,301.6262650489807
419.92766857147217,303.9509057998657
419.60394382476807,306.2778949737549
419.2978501319885,308.607280254364
419.0104842185974,310.9390377998352
418.7427520751953,313.27314376831055
418.49552392959595,315.60949087142944
418.26950311660767,317.9479956626892
418.0651783943176,320.2884912490845
417.8828954696655,322.6308226585388
417.723023891449,324.97477531433105
417.5853490829468,327.32014656066895
417.4694299697876,329.6666920185089
417.37470626831055,332.0141792297363
417.3004627227783,334.36240553855896
417.2457814216614,336.71117424964905
417.20964908599854,339.0603005886078
417.19093322753906,341.40963554382324
417.188036441803,343.7590479850769
417.1968340873718,346.1084306240082
417.2284245491028,348.4576225280762
417.2892093658447,350.80623030662537
417.3823952674866,353.1537741422653
417.5091743469238,355.49974143505096
417.6707863807678,357.8435629606247
417.8677797317505,360.1846784353256
418.0998682975769,362.522554397583
418.36767196655273,364.85666036605835
418.67096424102783,367.18638241291046
419.0095901489258,369.5112496614456
419.38337087631226,371.83071076869965
419.792103767395,374.14426505565643
420.23561000823975,376.4514356851578
420.7136392593384,378.7516459822655
421.2381362915039,381.0415744781494
421.83364629745483,383.3142355084419
422.4679708480835,385.57637482881546
423.14809560775757,387.82511055469513
423.883855342865,390.0562696158886
424.6867299079895,392.2641262412071
425.5737900733948,394.4394316524267
426.5676021575928,396.56796902418137
427.6999235153198,398.62581342458725
429.01439666748047,400.5717354826629
430.56613206863403,402.3327758535743
432.40296840667725,403.7910684943199
434.5145344734192,404.8087704926729
436.8001103401184,405.3349208086729
439.14395570755005,405.46848103404045
441.4865016937256,405.31019382178783
443.7942385673523,404.8763409256935
446.04129791259766,404.1941836476326
448.20706844329834,403.28616201877594
450.2732515335083,402.169787324965
452.2212505340576,400.85806641727686
454.0302515029907,399.36051103286445
455.67522048950195,397.6846730336547
457.12528228759766,395.83777748048306
458.34264755249023,393.8302241265774
459.2830419540405,391.67930260300636
459.899640083313,389.41464498639107
460.1515769958496,387.0813712477684
460.11130809783936,384.7329869866371
459.6856355667114,382.42706060409546
458.91332626342773,380.20905554294586
458.017897605896,378.0370995402336
457.07690715789795,375.8843645453453
456.1902046203613,373.7087845802307
455.3342342376709,371.520859003067
454.5064687728882,369.32213306427
453.7067413330078,367.11302399635315
452.9351234436035,364.89396691322327
452.1916389465332,362.66530454158783
451.47597789764404,360.42754650115967
450.78845024108887,358.1810265779495
450.1285791397095,355.9261828660965
449.49647188186646,353.6634296178818
448.89200925827026,351.3931155204773
448.31498861312866,349.1156756877899
447.76562452316284,346.83141112327576
447.2432017326355,344.5408284664154
446.74785137176514,342.24424958229065
446.27941846847534,339.94203209877014
445.8377003669739,337.6345455646515
445.4224944114685,335.3220999240875
445.03406286239624,333.0050587654114
444.6718215942383,330.68373799324036
444.335412979126,328.3585727214813
444.0249562263489,326.02975964546204
443.740177154541,323.69768023490906
443.4807300567627,321.3626563549042
443.2463765144348,319.02496218681335
443.0371284484863,316.68493151664734
442.85234212875366,314.34280276298523
442.69179105758667,311.9988977909088
442.5550103187561,309.6534729003906
442.441463470459,307.30682611465454
442.3508286476135,304.9591600894928
442.281973361969,302.61075496673584
442.2337293624878,300.26184916496277
442.2041177749634,297.9126214981079
442.1905755996704,295.563268661499
442.1875834465027,293.2138442993164
442.19627380371094,290.86447954177856
442.2258138656616,288.51524591445923
442.2757863998413,286.1663579940796
442.34561920166016,283.81800651550293
442.43491888046265,281.47027492523193
442.54307746887207,279.1233777999878
442.66947507858276,276.7773985862732
442.81362295150757,274.43240880966187
442.9750680923462,272.08855152130127
443.1534767150879,269.7458863258362
443.3483839035034,267.4046516418457
443.55958700180054,265.0647163391113
443.7857151031494,262.7262234687805
444.0278649330139,260.3892922401428
444.2843794822693,258.05392265319824
444.5553183555603,255.72023391723633
444.8403596878052,253.38817834854126
445.1392412185669,251.05782747268677
445.45193910598755,248.72931241989136
445.77773809432983,246.40259742736816
446.1163401603699,244.07776594161987
446.4674711227417,241.7547345161438
